audio_down_id,time,label,unnature,sharpdecline
exp1_opus_10_16920,2.115,0,,
exp1_opus_10_18040,2.255,0,,
exp1_opus_10_19800,2.475,0,,
exp1_opus_10_22920,2.865,0,,
exp1_opus_10_28600,3.575,0,,
exp1_opus_10_30760,3.845,0,,
exp1_opus_10_32760,4.095,0,,
exp1_opus_10_32920,4.115,0,,
exp1_opus_10_41880,5.235,0,,
exp1_opus_10_55160,6.895,0,,
exp1_opus_10_61000,7.625,0,,
exp1_opus_10_68600,8.575,0,,
exp1_opus_10_78680,9.835,0,,
exp1_opus_10_82840,10.355,0,,
exp1_opus_10_98680,12.335,0,,
exp1_opus_10_111400,13.925,0,,
exp1_opus_10_123000,15.375,0,,
exp1_opus_10_123640,15.455,0,,
exp1_opus_10_126360,15.795,0,,
exp1_opus_10_129000,16.125,0,,
exp1_opus_10_139000,17.375,0,,
exp1_opus_10_156120,19.515,0,,
exp1_opus_10_164840,20.605,0,,
exp1_opus_10_172120,21.515,0,,
exp1_opus_10_173560,21.695,0,,
exp1_opus_10_177400,22.175,0,,
exp1_opus_10_192360,24.045,0,,
exp1_opus_10_208440,26.055,0,,
exp1_opus_10_212440,26.555,0,,
exp1_opus_10_215160,26.895,0,,
exp1_opus_10_222600,27.825,0,,
exp1_opus_10_224520,28.065,0,,
exp1_opus_10_224760,28.095,0,,
exp1_opus_10_248680,31.085,0,,
exp1_opus_10_254440,31.805,0,,
exp1_opus_10_261880,32.735,0,,
exp1_opus_10_270680,33.835,0,,
exp1_opus_10_275080,34.385,0,,
exp1_opus_10_291480,36.435,0,,
exp1_opus_10_302840,37.855,0,,
exp1_opus_10_314760,39.345,0,,
exp1_opus_10_315400,39.425,0,,
exp1_opus_10_320760,40.095,0,,
exp1_opus_10_331240,41.405,0,,
exp1_opus_10_343480,42.935,0,,
exp1_opus_10_347240,43.405,0,,
exp1_opus_10_358200,44.775,0,,
exp1_opus_10_360200,45.025,1,,
exp1_opus_10_374760,46.845,0,,
exp1_opus_10_376840,47.105,0,,
exp1_opus_10_378680,47.335,0,,
exp1_opus_10_381960,47.745,0,,
